handle,vendor,type,status,live_media,local_assoc,local_files
sofa-terraza-2-plazas-estilo-elegante-13170-cm,Hevea,Sofá,ACTIVE,1,0,
sofa-terraza-3-plazas-estilo-moderno-18570-cm,Hevea,Sofá,ACTIVE,1,0,
mesa-de-centro-exterior-hpl-90-cm-altura-40-cm,Hevea,Mesa centro,ACTIVE,1,0,
mesa-de-centro-exterior-hpl-120-cm-altura-40-cm-2,Hevea,Mesa centro,ACTIVE,1,0,
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-4,Hevea,Conjunto sofá,ACTIVE,1,1,images_optimized/1739543673_ACAPULCO-7.jpg
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-5,Hevea,Conjunto sofá,ACTIVE,1,1,images_optimized/1739543673_ACAPULCO-8.jpg
pergola-aluminio-para-jardin-300300250-cm,Hevea,Pérgola,ACTIVE,1,1,images_optimized/1739809400_PERGOLA-VENECIA-4X3-BLANCO.jpg
sillon-exterior-estilo-urbano-6670-cm,Hevea,Sillón,ACTIVE,1,0,
sofa-terraza-2-plazas-estilo-contemporaneo-13370-cm,Hevea,Sofá,ACTIVE,1,0,
sofa-terraza-3-plazas-estilo-moderno-18770-cm,Hevea,Sofá,ACTIVE,1,0,
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-3,Hevea,Conjunto sofá,ACTIVE,1,1,images_optimized/1739544586_MANHATAN-07.jpg
set-jardin-3-plazas-urbano-sofa-3-plazas-2-sillones-mesa,Hevea,Conjunto sofá,ACTIVE,1,0,
set-rinconera-exterior-hpl-sofisticado-sofa-de-esquina-mesa-de-centro,Hevea,Conjunto rinconera,ACTIVE,1,1,images_optimized/1739795165_loira-rinconera-7.jpg
set-rinconera-exterior-hpl-elegante-sofa-de-esquina-mesa-de-centro,Hevea,Conjunto rinconera,ACTIVE,3,3,images_optimized/1739795165_loira-rinconera-7.jpg | images_optimized/1739795165_rinconera-loira-8.jpg | images_optimized/1739805444_loira-30.jpg
set-rinconera-exterior-hpl-moderno-sofa-de-esquina-mesa-de-centro,Hevea,Conjunto rinconera,ACTIVE,2,1,images_optimized/1739805444_loira-30.jpg
set-rinconera-exterior-contemporaneo-sofa-de-esquina-mesa-de-centro,Hevea,Conjunto rinconera,ACTIVE,2,1,images_optimized/1739805512_adel-7.jpg
set-rinconera-exterior-sofisticado-sofa-de-esquina-mesa-de-centro,Hevea,Conjunto rinconera,ACTIVE,2,1,images_optimized/1739806050_adel-30.jpg
mesa-comedor-exterior-hpl-13590-cm,Hevea,Mesa comedor,ACTIVE,3,1,images_optimized/mesa-corcega.jpg
silla-exterior-estilo-estilizado,Hevea,Silla,ACTIVE,1,1,images_optimized/1740126347_sillon-janeiro-3-antracita-ALTA.jpg
silla-exterior-estilo-contemporaneo,Hevea,Silla,ACTIVE,1,1,images_optimized/1740126338_sillon-corcega-3-antracita_ALTA_SF.jpg
