handle,proveedor,n_variantes,precio_min,precio_max,precio_psicologico_G(objetivo),coste_min,margen%_a_precio_min,status
sillon-exterior-estilo-versatil-58100-cm,Hevea,1,114.95,114.95,114.95,60.0,36.8,OK
tumbona-de-exterior,Hevea,1,193.95,193.95,193.95,101.0,37.0,OK
parasol-para-terraza-300-cm,Hevea,1,349.9,349.9,349.9,189.0,34.6,OK
parasol-para-terraza-350-cm,Hevea,1,1079.0,1079.0,1079.0,561.0,37.1,OK
parasol-para-terraza-300-cm-2,Hevea,1,163.95,163.95,163.95,86.0,36.5,OK
base-de-parasol-25-kg,Hevea,1,78.95,78.95,78.95,41.0,37.2,OK
set-losas-cemento-para-base-de-parasol,Hevea,1,217.95,217.95,217.95,114.0,36.7,OK
balancin-jardin-exterior-148194-cm,Hevea,1,1805.0,1805.0,1805.0,939.0,37.1,OK
banco-jardin-con-mesa-integrada-220-cm,Hevea,1,2899.0,2899.0,2899.0,1509.0,37.0,OK
banco-de-exterior-150-cm,Hevea,1,423.95,423.95,423.95,221.0,36.9,OK
banco-de-exterior-108-cm,Hevea,1,381.95,381.95,381.95,199.0,37.0,OK
balliu-tumbona-de-exterior-resina-923110d9,Balliu,5,219.95,242.95,219.95,112.55,38.1,CORREGIR
balliu-tumbona-de-exterior-resina-b19af1ea,Balliu,80,228.95,242.95,,,,SIN_FUENTE_EXCEL
balliu-tumbona-de-exterior-resina-ddeeef3f,Balliu,1,242.95,242.95,242.95,124.07,38.2,OK
balliu-tumbona-de-exterior-resina-75-cm-009e68e4,Balliu,80,183.95,188.95,"183.95, 188.95, 199.9, 219.95",93.89,38.2,OK
balliu-tumbona-de-exterior-resina-75-cm-aca076ae,Balliu,80,182.95,187.95,"182.95, 187.95, 199.9, 212.95",93.34,38.3,OK
balliu-tumbona-de-exterior-resina-73-cm-b19af1ea,Balliu,1,228.95,228.95,"161.95, 228.95",82.85,56.2,OK
balliu-tumbona-de-exterior-resina-73-cm-32a6c0ea,Balliu,1,174.95,174.95,174.95,89.39,38.2,OK
balliu-tumbona-de-exterior-resina-73-cm-d369d964,Balliu,32,184.95,192.95,"184.95, 192.95",94.7,38.0,OK
balliu-tumbona-de-exterior-resina-73-cm-0648657b,Balliu,1,190.95,190.95,190.95,97.43,38.3,OK
balliu-tumbona-de-exterior-resina-28ff014d,Balliu,80,399.9,399.9,399.9,215.24,34.9,OK
balliu-tumbona-de-exterior-sin-ruedas-aluminio-da3f5c24,Balliu,90,539.0,589.0,"539.0, 589.0",287.64,35.4,OK
balliu-tumbona-de-exterior-aluminio-36870d09,Balliu,90,426.95,449.9,"426.95, 449.9",229.08,35.1,OK
balliu-tumbona-de-exterior-aluminio-d08586c1,Balliu,90,449.9,496.95,"449.9, 496.95",248.76,33.1,OK
balliu-tumbona-de-exterior-con-ruedas-aluminio-58-cm-9064b7b9,Balliu,16,629.0,629.0,629.0,337.77,35.0,OK
balliu-tumbona-de-exterior-aluminio-68-cm-f7ab4da8,Balliu,16,323.95,323.95,323.95,173.92,35.0,OK
balliu-tumbona-de-exterior-20620134,Balliu,1,421.95,421.95,421.95,226.62,35.0,OK
balliu-mini-tumbona-de-exterior-aluminio-62-cm-5a6f53eb,Balliu,48,249.9,249.9,249.9,140.89,31.8,OK
balliu-mini-tumbona-de-exterior-madera-59-cm-fa211c70,Balliu,16,299.9,299.9,299.9,139.67,43.6,OK
balliu-mini-tumbona-de-exterior-aluminio-57-cm-98ab84ce,Balliu,32,213.95,213.95,213.95,114.6,35.2,OK
balliu-cama-balinesa-exterior-aluminio-estilo-sofisticado-160-cm-2bd3a7a4,Balliu,1,1999.0,1999.0,1999.0,1073.61,35.0,OK
balliu-cama-balinesa-exterior-aluminio-estilo-minimalista-198-cm-dcaf71d8,Balliu,1,2815.0,2815.0,2815.0,1510.81,35.1,OK
balliu-taburete-exterior-aluminio-estilo-elegante-56-cm-a66b4a0a,Balliu,48,186.95,186.95,186.95,100.25,35.1,OK
balliu-silla-exterior-con-brazos-aluminio-estilo-elegante-56-cm-5c88bd77,Balliu,48,181.95,181.95,181.95,97.71,35.0,OK
balliu-silla-exterior-con-brazos-aluminio-estilo-elegante-56-cm-eaf4a34a,Balliu,48,190.95,190.95,190.95,102.17,35.3,OK
balliu-silla-exterior-resina-estilo-minimalista-484cbea0,Balliu,3,77.95,81.95,"77.95, 81.95",41.58,35.5,OK
balliu-silla-exterior-resina-estilo-clasico-57-cm-8164cc65,Balliu,3,99.9,99.9,99.9,54.81,33.6,OK
balliu-silla-exterior-resina-estilo-funcional-0b607ec7,Balliu,2,33.95,40.95,"33.95, 40.95",17.17,38.8,OK
balliu-silla-exterior-sin-brazos-resina-estilo-contemporaneo-49-cm-af080e9c,Balliu,4,70.95,84.95,"70.95, 84.95",43.89,25.1,OK
balliu-silla-exterior-sin-brazos-resina-estilo-funcional-daabcdaf,Balliu,6,78.95,115.95,"78.95, 79.95, 115.95",48.33,25.9,OK
balliu-silla-exterior-sin-brazos-estilo-contemporaneo-53-cm-cd07e7d6,Balliu,2,65.95,70.95,65.95,40.56,25.6,CORREGIR
balliu-silla-exterior-con-brazos-estilo-contemporaneo-53-cm-c654c52f,Balliu,1,70.95,70.95,70.95,43.83,25.3,OK
balliu-silla-exterior-con-brazos-resina-estilo-funcional-94b6e5b5,Balliu,1,113.8,113.8,,,,SIN_FUENTE_EXCEL
balliu-silla-exterior-con-brazos-aluminio-estilo-elegante-58-cm-bc0c02ec,Balliu,4,97.95,97.95,97.95,60.67,25.1,OK
balliu-silla-exterior-aluminio-estilo-contemporaneo-afd89221,Balliu,1,149.9,149.9,149.9,96.11,22.4,OK
balliu-mesa-exterior-aluminio-9e30ca7f,Balliu,1,108.95,108.95,108.95,67.33,25.2,OK
balliu-mesa-exterior-5d0fb586,Balliu,5,27.95,29.95,27.95,14.17,38.7,CORREGIR
balliu-mesa-exterior-1cf4d3d5,Balliu,1,29.95,29.95,29.95,14.95,39.6,OK
balliu-mesa-auxiliar-exterior-resina-48-cm-de421a42,Balliu,5,33.95,34.95,33.95,17.13,38.9,OK
balliu-mesa-auxiliar-exterior-resina-48-cm-911a77ba,Balliu,1,34.95,34.95,34.95,17.63,39.0,OK
balliu-mesa-auxiliar-exterior-resina-48-cm-35554775,Balliu,5,36.95,37.95,36.95,18.44,39.6,OK
balliu-mesa-auxiliar-exterior-resina-48-cm-25cd2ede,Balliu,1,37.95,37.95,37.95,19.36,38.3,OK
balliu-mesa-auxiliar-exterior-aluminio-54-cm-6c7a42d9,Balliu,48,157.95,157.95,157.95,84.68,35.1,OK
balliu-mesa-auxiliar-exterior-aluminio-90b11e5b,Balliu,5,130.95,137.95,130.95,69.97,35.3,CORREGIR
balliu-mesa-auxiliar-exterior-aluminio-27ce9446,Balliu,1,137.95,137.95,137.95,73.58,35.5,OK
balliu-mesa-auxiliar-exterior-aluminio-60-cm-9c991818,Balliu,15,167.95,167.95,"157.95, 167.95, 175.95",84.79,38.9,OK
balliu-mesa-exterior-resina-70-cm-33ce1613,Balliu,6,181.95,315.95,181.95,97.55,35.1,REVISAR_VARIANTES
balliu-mesa-exterior-resina-80-cm-eb565c3e,Balliu,1,188.95,188.95,188.95,101.49,35.0,OK
balliu-mesa-exterior-resina-90-cm-871df608,Balliu,1,221.95,221.95,221.95,118.78,35.2,OK
balliu-mesa-exterior-resina-7070-cm-7ab14c9a,Balliu,1,220.95,220.95,220.95,118.31,35.2,OK
balliu-mesa-exterior-resina-8080-cm-1a5a5005,Balliu,1,243.95,243.95,243.95,131.01,35.0,OK
balliu-mesa-exterior-resina-12080-cm-747885bd,Balliu,1,315.95,315.95,315.95,169.64,35.0,OK
balliu-mesa-exterior-aluminio-8080-cm-ef580ae2,Balliu,60,478.95,945.0,"478.95, 545.0, 639.0, 739.0, 769.0, 895.0, 945.0, 1125.0",257.19,35.0,OK
balliu-mesa-exterior-hpl-24090-cm-78358691,Balliu,1,1285.0,1285.0,1285.0,689.0,35.1,OK
balliu-mesa-exterior-hpl-24090-cm-d4e471c5,Balliu,1,1295.0,1295.0,1295.0,694.04,35.2,OK
balliu-mesa-exterior-140-18090-cm-e4ec7d7c,Balliu,30,1275.0,1670.0,1275.0,789.72,25.1,CORREGIR
balliu-mesa-exterior-200-260100-cm-9d798e50,Balliu,1,1670.0,1670.0,1670.0,1035.01,25.0,OK
balliu-mesa-exterior-hpl-140-180100-cm-8e073aab,Balliu,30,1575.0,2019.0,1575.0,975.21,25.1,CORREGIR
