action,handle,title,vendor,preview_url,status,notes
hevea-skip,sofa-terraza-2-plazas-estilo-contemporaneo-145100-cm,Sofá terraza 2 plazas · estilo contemporáneo | 145×100 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-contemporaneo-145100-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-3-plazas-estilo-sofisticado-212100-cm,Sofá terraza 3 plazas · estilo sofisticado | 212×100 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-sofisticado-212100-cm,ok,Already Hevea-tagged
hevea-skip,set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-4,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 4,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-4,ok,Already Hevea-tagged
hevea-skip,set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-4,Set jardín 3 plazas · sofisticado | sofá 3 plazas + 2 sillones + mesa 4,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-3-plazas-sofisticado-sofa-3-plazas-2-sillones-mesa-4,ok,Already Hevea-tagged
hevea-skip,reposapies-exterior-855043-cm,Reposapiés exterior · 85×50×43 cm,Hevea,https://mueblesexterior.myshopify.com/products/reposapies-exterior-855043-cm,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-elegante-80104-cm,Sillón exterior · estilo elegante | 80×104 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-elegante-80104-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-2-plazas-estilo-contemporaneo-164104-cm,Sofá terraza 2 plazas · estilo contemporáneo | 164×104 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-contemporaneo-164104-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-3-plazas-estilo-contemporaneo-215104-cm,Sofá terraza 3 plazas · estilo contemporáneo | 215×104 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-contemporaneo-215104-cm,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-125-cm-altura-42-cm,Mesa de centro exterior 125 cm · altura 42 cm,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-125-cm-altura-42-cm,ok,Already Hevea-tagged
hevea-skip,reposapies-exterior-855043-cm-2,Reposapiés exterior · 85×50×43 cm 2,Hevea,https://mueblesexterior.myshopify.com/products/reposapies-exterior-855043-cm-2,ok,Already Hevea-tagged
hevea-skip,set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-5,Set jardín 2 plazas · elegante | sofá 2 plazas + 2 sillones + mesa 5,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-2-plazas-elegante-sofa-2-plazas-2-sillones-mesa-5,ok,Already Hevea-tagged
hevea-skip,set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-2,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa 2,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-2,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-bicolor-estilo-bicolor-7376-cm,Sillón exterior bicolor · estilo bicolor | 73×76 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-bicolor-estilo-bicolor-7376-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-bicolor-2-plazas-estilo-bicolor-14076-cm,Sofá terraza bicolor 2 plazas · estilo bicolor | 140×76 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-bicolor-2-plazas-estilo-bicolor-14076-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-bicolor-3-plazas-estilo-bicolor-20076-cm,Sofá terraza bicolor 3 plazas · estilo bicolor | 200×76 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-bicolor-3-plazas-estilo-bicolor-20076-cm,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-hpl-120-cm-altura-40-cm,Mesa de centro exterior HPL 120 cm · altura 40 cm,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-hpl-120-cm-altura-40-cm,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-hpl-135-cm-altura-40-cm,Mesa de centro exterior HPL 135 cm · altura 40 cm,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-hpl-135-cm-altura-40-cm,ok,Already Hevea-tagged
hevea-skip,reposapies-exterior-bicolor-704544-cm,Reposapiés exterior bicolor · 70×45×44 cm,Hevea,https://mueblesexterior.myshopify.com/products/reposapies-exterior-bicolor-704544-cm,ok,Already Hevea-tagged
hevea-skip,set-jardin-bicolor-2-plazas-bicolor-sofa-2-plazas-2-sillones-mesa,Set jardín bicolor 2 plazas · bicolor | sofá 2 plazas + 2 sillones + mesa,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-bicolor-2-plazas-bicolor-sofa-2-plazas-2-sillones-mesa,ok,Already Hevea-tagged
hevea-skip,set-jardin-bicolor-3-plazas-bicolor-sofa-3-plazas-2-sillones-mesa,Set jardín bicolor 3 plazas · bicolor | sofá 3 plazas + 2 sillones + mesa,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-bicolor-3-plazas-bicolor-sofa-3-plazas-2-sillones-mesa,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-versatil-7685-cm,Sillón exterior · estilo versátil | 76×85 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-versatil-7685-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-2-plazas-estilo-contemporaneo-13785-cm,Sofá terraza 2 plazas · estilo contemporáneo | 137×85 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-contemporaneo-13785-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-3-plazas-estilo-contemporaneo-19685-cm,Sofá terraza 3 plazas · estilo contemporáneo | 196×85 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-contemporaneo-19685-cm,ok,Already Hevea-tagged
hevea-skip,set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,Set jardín 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,ok,Already Hevea-tagged
hevea-skip,set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-3,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa 3,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-3,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-moderno-7085-cm,Sillón exterior · estilo moderno | 70×85 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-moderno-7085-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-2-plazas-estilo-elegante-15085-cm,Sofá terraza 2 plazas · estilo elegante | 150×85 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-elegante-15085-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-3-plazas-estilo-contemporaneo-19085-cm,Sofá terraza 3 plazas · estilo contemporáneo | 190×85 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-contemporaneo-19085-cm,ok,Already Hevea-tagged
hevea-skip,set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-2,Set jardín 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa 2,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-2,ok,Already Hevea-tagged
hevea-skip,set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa-2,Set jardín 3 plazas · elegante | sofá 3 plazas + 2 sillones + mesa 2,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa-2,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-90-cm-altura-40-cm-2,Mesa de centro exterior 90 cm · altura 40 cm 2,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-90-cm-altura-40-cm-2,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-120-cm-altura-40-cm-2,Mesa de centro exterior 120 cm · altura 40 cm 2,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-120-cm-altura-40-cm-2,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-contemporaneo-68115-cm,Sillón exterior · estilo contemporáneo | 68×115 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-contemporaneo-68115-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-2-plazas-estilo-moderno-128115-cm,Sofá terraza 2 plazas · estilo moderno | 128×115 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-moderno-128115-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-3-plazas-estilo-contemporaneo-188115-cm,Sofá terraza 3 plazas · estilo contemporáneo | 188×115 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-contemporaneo-188115-cm,ok,Already Hevea-tagged
hevea-skip,set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-3,Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillones + mesa 3,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-3,ok,Already Hevea-tagged
hevea-skip,set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-4,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa 4,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-4,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-versatil-6470-cm,Sillón exterior · estilo versátil | 64×70 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-versatil-6470-cm,ok,Already Hevea-tagged
