handle,title,status,type,vendor,desc_words,seo_desc,image,variants,variants_sin_gtin
sillon-exterior-estilo-envolvente-7582-cm,Sillón exterior · estilo envolvente | 75×82 cm,ACTIVE,Sillón,Hevea,40,sí,sí,1,1
sillon-exterior-estilo-estilizado-7069-cm,Sillón exterior · estilo estilizado | 70×69 cm,ACTIVE,Sillón,Hevea,40,sí,sí,1,1
reposapies-exterior-bicolor-704544-cm,Reposapiés exterior bicolor · 70×45×44 cm,ACTIVE,Reposapiés,Hevea,40,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-13785-cm,Sofá terraza 2 plazas · estilo contemporáneo | 137×85 cm,ACTIVE,Sofá,Hevea,40,sí,sí,1,1
mesa-de-centro-exterior-90-cm-altura-40-cm-2,Mesa de centro exterior 90 cm · altura 40 cm 2,ACTIVE,Mesa centro,Hevea,40,sí,sí,1,1
sofa-terraza-3-plazas-estilo-contemporaneo-18590-cm,Sofá terraza 3 plazas · estilo contemporáneo | 185×90 cm,ACTIVE,Sofá,Hevea,41,sí,sí,1,1
reposapies-exterior-605040-cm,Reposapiés exterior · 60×50×40 cm,ACTIVE,Reposapiés,Hevea,41,sí,sí,1,1
sofa-terraza-3-plazas-estilo-contemporaneo-19882-cm,Sofá terraza 3 plazas · estilo contemporáneo | 198×82 cm,ACTIVE,Sofá,Hevea,41,sí,sí,1,1
mesa-de-centro-exterior-90-cm-altura-41-cm,Mesa de centro exterior 90 cm · altura 41 cm,ACTIVE,Mesa centro,Hevea,41,sí,sí,1,1
reposapies-exterior-855043-cm,Reposapiés exterior · 85×50×43 cm,ACTIVE,Reposapiés,Hevea,41,sí,sí,1,1
mesa-de-centro-exterior-hpl-135-cm-altura-40-cm,Mesa de centro exterior HPL 135 cm · altura 40 cm,ACTIVE,Mesa centro,Hevea,41,sí,sí,1,1
sofa-terraza-3-plazas-estilo-contemporaneo-19085-cm,Sofá terraza 3 plazas · estilo contemporáneo | 190×85 cm,ACTIVE,Sofá,Hevea,41,sí,sí,1,1
mesa-comedor-exterior-hpl-15090-cm,Mesa comedor exterior HPL 150×90 cm,ACTIVE,Mesa comedor,Hevea,41,sí,sí,1,1
balancin-jardin-exterior-148194-cm,Balancín jardín exterior · 148×194 cm,ACTIVE,Balancín,Hevea,41,sí,sí,1,1
banco-jardin-con-mesa-integrada-220-cm,Banco jardín con mesa integrada · 220 cm,ACTIVE,Banco con mesa,Hevea,41,sí,sí,1,1
sofa-terraza-2-plazas-estilo-elegante-15085-cm,Sofá terraza 2 plazas · estilo elegante | 150×85 cm,ACTIVE,Sofá,Hevea,42,sí,sí,1,1
sillon-exterior-estilo-contemporaneo-68115-cm,Sillón exterior · estilo contemporáneo | 68×115 cm,ACTIVE,Sillón,Hevea,42,sí,sí,1,1
silla-exterior-estilo-estilizado,Silla exterior · estilo estilizado,ACTIVE,Silla,Hevea,43,sí,sí,1,1
