handle,sku,titulo,cat,price,cost_net,fuente,gross_pct,net_pct,net_eur,carrier,fee,esc,alerta,notas,compare_ok
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa,557-010719,Set jardín 2 plazas · contemporáneo | sofá 2 plazas + 2,l,2535.0,1320.0,shopify,37.0,34.4,721.51,0.0,53.54,envio_gratis,OK,,OK
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-3,557-010720,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2,l,2899.0,1509.0,shopify,37.0,34.5,825.69,0.0,61.18,envio_gratis,OK,,OK
sillon-exterior-estilo-moderno-7085-cm,557-010103,Sillón exterior · estilo moderno | 70×85 cm,m,585.0,303.0,shopify,37.3,24.4,117.89,50.0,12.59,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-elegante-15085-cm,557-010104,Sofá terraza 2 plazas · estilo elegante | 150×85 cm,l,909.0,473.0,shopify,37.0,27.8,208.85,50.0,19.39,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-contemporaneo-19085-cm,557-010105,Sofá terraza 3 plazas · estilo contemporáneo | 190×85 c,l,1175.0,612.0,shopify,37.0,34.4,334.1,0.0,24.98,envio_gratis,OK,,OK
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-2,557-010106,Set jardín 2 plazas · contemporáneo | sofá 2 plazas + 2,l,2405.0,1251.0,shopify,37.1,34.5,685.8,0.0,50.8,envio_gratis,OK,,OK
set-jardin-3-plazas-elegante-sofa-3-plazas-2-sillones-mesa-2,557-010107,Set jardín 3 plazas · elegante | sofá 3 plazas + 2 sill,l,2779.0,1446.0,shopify,37.0,34.5,792.04,0.0,58.66,envio_gratis,OK,,OK
mesa-de-centro-exterior-90-cm-altura-40-cm-2,557-1070,Mesa de centro exterior 90 cm · altura 40 cm 2,m,332.95,174.0,shopify,36.8,45.0,123.82,0.0,7.29,cliente_paga,OK,,OK
mesa-de-centro-exterior-120-cm-altura-40-cm-2,557-1563,Mesa de centro exterior 120 cm · altura 40 cm 2,m,441.95,230.0,shopify,37.0,28.9,105.62,50.0,9.58,cliente_paga,OK,carrier(50)>rate(29.95),OK
sillon-exterior-estilo-contemporaneo-68115-cm,557-0794,Sillón exterior · estilo contemporáneo | 68×115 cm,m,559.0,290.0,shopify,37.2,23.8,109.94,50.0,12.04,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-moderno-128115-cm,557-0795,Sofá terraza 2 plazas · estilo moderno | 128×115 cm,l,909.0,473.0,shopify,37.0,27.8,208.85,50.0,19.39,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-contemporaneo-188115-cm,557-0796,Sofá terraza 3 plazas · estilo contemporáneo | 188×115 ,l,1199.0,624.0,shopify,37.0,34.5,341.43,0.0,25.48,envio_gratis,OK,,OK
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-3,557-0798,Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillo,l,2355.0,1226.0,shopify,37.0,34.5,670.53,0.0,49.76,envio_gratis,OK,,OK
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-4,557-0799,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2,l,2755.0,1434.0,shopify,37.0,34.5,784.7,0.0,58.16,envio_gratis,OK,,OK
sillon-exterior-estilo-versatil-6470-cm,557-010146,Sillón exterior · estilo versátil | 64×70 cm,m,589.0,306.0,shopify,37.1,24.3,118.11,50.0,12.67,envio_gratis,OK,,OK
sofa-terraza-2-plazas-estilo-elegante-13170-cm,557-010148,Sofá terraza 2 plazas · estilo elegante | 131×70 cm,l,845.0,438.0,shopify,37.3,27.5,192.3,50.0,18.05,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-moderno-18570-cm,557-010147,Sofá terraza 3 plazas · estilo moderno | 185×70 cm,l,789.0,523.0,shopify,19.8,17.2,112.2,0,16.87,envio_gratis,AVISO,,OK
mesa-de-centro-exterior-hpl-90-cm-altura-40-cm,557-010153,Mesa de centro exterior HPL 90 cm · altura 40 cm,m,332.95,174.0,shopify,36.8,45.0,123.82,0.0,7.29,cliente_paga,OK,,OK
mesa-de-centro-exterior-hpl-120-cm-altura-40-cm-2,557-010154,Mesa de centro exterior HPL 120 cm · altura 40 cm 2,m,441.95,230.0,shopify,37.0,28.9,105.62,50.0,9.58,cliente_paga,OK,carrier(50)>rate(29.95),OK
set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-4,557-010149,Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillo,l,2349.0,1223.0,shopify,37.0,34.4,668.69,0.0,49.63,envio_gratis,OK,,OK
set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-5,557-010147,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2,l,2765.0,1440.0,shopify,37.0,34.4,786.76,0.0,58.37,envio_gratis,OK,,OK
pergola-aluminio-para-jardin-300300250-cm,557-0919,Pérgola aluminio para jardín · 300×300×250 cm,l,2045.0,1065.0,shopify,37.0,34.4,581.84,0.0,43.24,envio_gratis,OK,,OK
sillon-exterior-estilo-urbano-6670-cm,557-01951,Sillón exterior · estilo urbano | 66×70 cm,m,449.9,243.0,shopify,34.6,26.6,99.02,50.0,9.75,cliente_paga,OK,carrier(50)>rate(29.95),OK
sofa-terraza-2-plazas-estilo-contemporaneo-13370-cm,557-01952,Sofá terraza 2 plazas · estilo contemporáneo | 133×70 c,l,715.0,372.0,shopify,37.0,26.0,153.59,50.0,15.32,envio_gratis,OK,,OK
sofa-terraza-3-plazas-estilo-moderno-18770-cm,557-01953,Sofá terraza 3 plazas · estilo moderno | 187×70 cm,l,1029.0,536.0,shopify,37.0,28.5,242.5,50.0,21.91,envio_gratis,OK,,OK
set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-3,557-01954,Set jardín 2 plazas · contemporáneo | sofá 2 plazas + 2,l,1995.0,1037.0,shopify,37.1,34.5,569.57,0.0,42.2,envio_gratis,OK,,OK
set-jardin-3-plazas-urbano-sofa-3-plazas-2-sillones-mesa,557-01955,Set jardín 3 plazas · urbano | sofá 3 plazas + 2 sillon,l,2405.0,1251.0,shopify,37.1,34.5,685.8,0.0,50.8,envio_gratis,OK,,OK
set-rinconera-exterior-hpl-sofisticado-sofa-de-esquina-mesa-de-centro,557-010705,Set rinconera exterior HPL · sofisticado | sofá de esqu,l,2899.0,1509.0,shopify,37.0,34.5,825.69,0.0,61.18,envio_gratis,OK,,OK
set-rinconera-exterior-hpl-elegante-sofa-de-esquina-mesa-de-centro,557-010026,Set rinconera exterior HPL · elegante | sofá de esquina,l,3795.0,1976.0,shopify,37.0,34.4,1080.37,0.0,80.0,envio_gratis,OK,,OK
set-rinconera-exterior-hpl-moderno-sofa-de-esquina-mesa-de-centro,557-010123,Set rinconera exterior HPL · moderno | sofá de esquina ,l,4225.0,2199.0,shopify,37.0,34.5,1203.71,0.0,89.03,envio_gratis,OK,,OK
set-rinconera-exterior-contemporaneo-sofa-de-esquina-mesa-de-centro,557-1164,Set rinconera exterior · contemporáneo | sofá de esquin,l,2579.0,1342.0,shopify,37.0,34.5,734.95,0.0,54.46,envio_gratis,OK,,OK
set-rinconera-exterior-sofisticado-sofa-de-esquina-mesa-de-centro,557-010048,Set rinconera exterior · sofisticado | sofá de esquina ,l,3819.0,1988.0,shopify,37.0,34.5,1087.7,0.0,80.5,envio_gratis,OK,,OK
mesa-comedor-exterior-hpl-13590-cm,557-010177,Mesa comedor exterior HPL,l,660.0,344.0,shopify,36.9,25.2,137.29,50.0,14.16,envio_gratis,OK,,OK
